,pair1,pair2,apr,tvl,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
1175,DAI,ETH,7.1267774400000015,36088499.280242495,ETH,7.38612713090796,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1176,DAI,ETH,6.572949359999999,106846128.8137035,ETH,6.793147447226344,POOL,Sushi,2021-07-19,Sushi,ETH,A
1177,DAI,FTM,30.92,82710.30,FANTOM,36.21565040548911,FARM,https://hyperjump.fi,2021-07-19,https://hyperjump.fi,FANTOM,C
1178,DAI,FTM,66.89,3015966.24,FANTOM,95.0894204359665,FARM,https://spookyswap.finance,2021-07-19,https://spookyswap.finance,FANTOM,B
1179,DAI,FTM,201.32,82721.63,FANTOM,644.5935489389357,FARM,https://ftm.borgswap.exchange,2021-07-19,https://ftm.borgswap.exchange,FANTOM,C
1180,DAI,FUSE,0.18654264,715.4499698,ETH,0.18671626144706188,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1181,DAI,HEGIC,0.45301079999999994,1460.2347653000002,ETH,0.4540356211645058,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1182,DAI,ICAP,2.54456388,44615.366618,ETH,2.5771232774369546,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1183,DAI,IDLE,1.72129548,19863.685641099997,ETH,1.7361538464573334,POOL,Sushi,2021-07-19,Sushi,ETH,A
1184,DAI,JAYZ,0.0,204.6725647,ETH,0.0,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1185,DAI,LDO,2.4951861600000003,0.4563905,ETH,2.526489030436707,POOL,Sushi,2021-07-19,Sushi,ETH,A
1186,DAI,LEND,0.0,4.5968716,ETH,0.0,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1187,DAI,LINK,0.00020964,2028.9043394,ETH,0.00020964021849589898,POOL,Sushi,2021-07-19,Sushi,ETH,A
1188,DAI,LINK,0.9137922,3236.4175707,ETH,0.917968483831233,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1189,DAI,MATIC,0.01703364,36.3120679,ETH,0.017035086835059943,POOL,Sushi,2021-07-19,Sushi,ETH,A
1190,DAI,MFT,0.33004128,1889.0767594,ETH,0.3305850188227266,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1191,DAI,NFTX,0.01092732,56.3598526,ETH,0.010927915416436562,POOL,Sushi,2021-07-19,Sushi,ETH,A
1192,DAI,OHM,17.30702652,17710270.9721629,ETH,18.890087543846178,POOL,Sushi,2021-07-19,Sushi,ETH,A
1193,DAI,PARETO,0.1010808,389.5542045,ETH,0.10113176375672328,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1194,DAI,PIB,0.7701186,7330.3571523,ETH,0.7730834532553521,POOL,Sushi,2021-07-19,Sushi,ETH,A
1195,DAI,PLAY,0.0252144,0.0060193,ETH,0.025217570386959487,POOL,Sushi,2021-07-19,Sushi,ETH,A
1196,DAI,PNG,36.38,135263.86,AVAX,43.8525770093126,FARM,https://app.pangolin.exchange/#/png,2021-07-19,https://app.pangolin.exchange/#/png,AVAX,B
1197,DAI,PRPS,0.0,43.0808604,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1198,DAI,RAI,0.7587576,124891.2810797,ETH,0.7616355133158059,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1199,DAI,RAIL,16.934509560000002,38397.7943775,ETH,18.44823256451611,POOL,Sushi,2021-07-19,Sushi,ETH,A
1200,DAI,RC_COVER_250_DAI_2021_3_31,0.0,3.4030987,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1201,DAI,RC_WBTC_25000_DAI_2021_3_31,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1202,DAI,RC_WETH_750_DAI_2021_3_31,0.4231686,5111.8942645,ETH,0.4240627591981516,POOL,Sushi,2021-07-19,Sushi,ETH,A
1203,DAI,RDM,0.0,46.9915283,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1204,DAI,SNT,0.21454308,986.1656447,ETH,0.2147727564542068,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1205,DAI,SON,536.88,235.89,FANTOM,20537.564318849043,FARM,https://ftm.borgswap.exchange,2021-07-19,https://ftm.borgswap.exchange,FANTOM,C
1206,DAI,SPIRIT,131.23,488195.30,FANTOM,270.59756422126145,FARM,https://app.spiritswap.finance,2021-07-19,https://app.spiritswap.finance,FANTOM,B
1207,DAI,SUSHI,1.0581804,6288.3693889,ETH,1.0637834275064817,POOL,Sushi,2021-07-19,Sushi,ETH,A
1208,DAI,SX,0.00,842.22,PLOYGON,0.0,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1209,DAI,TRND,0.44732015999999997,1697.0896033000001,ETH,0.4483193767784055,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1210,DAI,UBI,1.14417612,76990.5851326,ETH,1.1507287119063792,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1211,DAI,UNI,1.811928,31968.3093701,ETH,1.8283972167593143,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1212,DAI,USDC,4.314428159999999,55028.182266899996,ETH,4.408586463573183,POOL,Sushi,2021-07-19,Sushi,ETH,A
1213,DAI,USDC,1.0764441599999999,11277515.0219598,ETH,1.082242620204954,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1214,DAI,USDC,10.44,32732.84,PLOYGON,11.002781349862945,FARM,https://swap.cometh.io/#/stake,2021-07-19,,,
1215,DAI,USDC,21.94,23729291.48,PLOYGON,24.52472271077133,FARM,https://dmm.exchange/,2021-07-19,,,
1216,DAI,USDC,4.98,37889879.69,PLOYGON,5.105729272668991,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1217,DAI,USDC,7.39,366577.80,FANTOM,7.669107641255923,FARM,https://hyperjump.fi,2021-07-19,https://hyperjump.fi,FANTOM,C
1218,DAI,USDC,235.00,366577.80,FANTOM,940.6881256072716,FARM,https://ftm.borgswap.exchange,2021-07-19,https://ftm.borgswap.exchange,FANTOM,C
1219,DAI,USDT,13.76,24657.68,PLOYGON,14.748669700239159,FARM,https://swap.cometh.io/#/stake,2021-07-19,,,
1220,DAI,USDT,7.04,8606547.75,PLOYGON,7.292998684965668,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1221,DAI,USDT,3.85,19573442.86,BSC,3.92486183312335,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1222,DAI,USDT,0.12235752000000001,175.1995004,ETH,0.12243220201246796,POOL,Sushi,2021-07-19,Sushi,ETH,A
1223,DAI,USDT,0.8311701599999999,4040836.5768619003,ETH,0.8346244267848135,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1224,DAI,WMATIC,52.68,3210630.46,PLOYGON,69.28613494343038,FARM,https://dmm.exchange/,2021-07-19,,,
1225,DAI,XDL,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1226,DAI,XIO,0.0,1271.7556164999999,ETH,0.0,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1227,DAI,Xii,0.0,375.4217392,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1228,DAI,ZAI,0.7682673600000001,24302.1785576,ETH,0.77121795820283,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1229,DAI,ZAIv2,2.28163488,7873.8016984000005,ETH,2.307790311584146,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1230,DAI,ZOMBIE,0.33826764,89.92362630000001,ETH,0.33883883786196556,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1231,DAI,bb_cDAI,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1232,DAI,cDAI,0.04047684,300.4477504,ETH,0.04048501052966724,POOL,Sushi,2021-07-19,Sushi,ETH,A
1233,DAI,renBTC,0.006541679999999999,51.170441499999995,ETH,0.006541893385003661,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1234,DAI,sil,0.47447039999999996,87639.2745134,ETH,0.47559469464424353,POOL,Sushi,2021-07-19,Sushi,ETH,A
1235,DAI,tfTUSD,1.05437628,905.629082,ETH,1.0599390242848061,POOL,Sushi,2021-07-19,Sushi,ETH,A
1236,DAI,xTRND,1.4180220000000001,1947.2580324,ETH,1.4280956855605043,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1237,DAI,zLOT,0.35162664,87.75147799999999,ETH,0.3522438720290566,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1238,DAI 98%,ARMOR 2%,22.82,581755.02,ETH,25.6246986195384,FARM,https://armor.fi,2021-07-19,https://armor.fi,ETH,A
1239,DAM,ETH,0.43421844,1129.4296071,ETH,0.43515994021268156,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1240,DANK,ETH,4.44174,888.5004265,ETH,4.541579643993332,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1241,DANK,ETH,0.0,0.669656,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1242,DAO,ETH,5.135325,890779.4887432,ETH,5.269088946921818,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1243,DAO,ETH,2.1330759599999998,139959.3104679,ETH,2.1559249800338964,POOL,Sushi,2021-07-19,Sushi,ETH,A
1244,DAO,USDC,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1245,DAO,yveCRV,0.0,0.0,ETH,0.0,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1246,DAOfi,ETH,3.57566952,885650.6707414,ETH,3.64018387640781,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1247,DARK,ETH,0.0,302.8891246,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1248,DATA,ETH,34.71253068,122238.8421825,ETH,41.476062672734336,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1249,DATA,USDC,0.0005176800000000001,0.3905844,ETH,0.0005176813345997289,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1250,DAWG,ETH,2.51597412,0.3661469,ETH,2.5478029481358355,POOL,Sushi,2021-07-19,Sushi,ETH,A
1251,DAWN,USDT,3.3238006799999997,22084.1109676,ETH,3.3794996146378375,POOL,Sushi,2021-07-19,Sushi,ETH,A
1252,DBC,USDT,0.0,155.2271203,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1253,DC,ETH,0.01868136,345.14110669999997,ETH,0.01868310029116138,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1254,DCC,USDT,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1255,DDIM,DUCK,1.3895715599999998,765280.2149088,ETH,1.3992441600810146,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1256,DDIM,ETH,9.06137796,490898.97861999995,ETH,9.483375925592853,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1257,DDX,ETH,0.0,0.19122019999999998,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1258,DDX,USDC,5.955731040000001,86253.7290654,ETH,6.13614299686982,POOL,Sushi,2021-07-19,Sushi,ETH,A
1259,DEA,DEUS,2.20470588,1414810.6502502998,ETH,2.229121049953875,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1260,DEA,USDC,4.76187048,149331.1644227,ETH,4.876743042250209,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1261,DEC,DAI,3.3286632000000003,81559.389691,ETH,3.384526127629006,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1262,DEC,ETH,4.57706316,355031.7642979,ETH,4.683126877085253,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1263,DEC,ETH,8.9678652,116403.446179,ETH,9.38106810947339,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1264,DEFI+L,ETH,2.23250304,50497.2621733,ETH,2.2575400645411303,POOL,Sushi,2021-07-19,Sushi,ETH,A
1265,DEFI5,ETH,5.81,3635382.84,PLOYGON,5.981607229705821,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1266,DEFI5,ETH,0.45369719999999997,2074455.4407861,ETH,0.45472513146516125,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1267,DEFI5,QUICK,33.39,632990.72,PLOYGON,39.61903768336295,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1268,DEGEN,ETH,45.04,639118.39,PLOYGON,56.85040610339944,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1269,DEGEN,ETH,3.5437668,124735.3433478,ETH,3.6071283356167383,POOL,Sushi,2021-07-19,Sushi,ETH,A
1270,DEGEN,ETH,3.4229914800000003,743801.8233909999,ETH,3.4820839550127047,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1271,DEGEN,QUICK,45.73,463294.49,PLOYGON,57.935062984646166,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1272,DEGO,BNB,8.30,4680216.74,BSC,8.653155647062194,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1273,DEGO,BNB,80.44,4680216.74,BSC,123.33772851673514,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1274,DEGO,BNB,189.19,23777.60,BSC,559.9631052454552,FARM,https://cafeswap.finance,2021-07-19,https://cafeswap.finance,BSC,C
1275,DEGOV,ETH,4.942497840000001,15216.0763426,ETH,5.066325099074809,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1276,DELTA,ETH,0.06423012,5555377.977707599,ETH,0.06425069541171613,POOL,Sushi,2021-07-19,Sushi,ETH,A
1277,DELTA rLP,ETH,8.921724719999998,13859.238529100001,ETH,9.330623160473483,POOL,Sushi,2021-07-19,Sushi,ETH,A
1278,DENT,ETH,8.80741332,22831.266562,ETH,9.205747509564798,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1279,DEP,ETH,0.84553704,7066.0687917000005,ETH,0.849111924195034,POOL,Sushi,2021-07-19,Sushi,ETH,A
1280,DEP,USDT,4.034777760000001,10806.1794077,ETH,4.117048611223506,POOL,Sushi,2021-07-19,Sushi,ETH,A
1281,DERI,BUSD,197.23,1919639.56,BSC,614.9128036110243,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1282,DERI,USDT,1.5711925199999999,472949.7524862,ETH,1.583566298093575,POOL,Sushi,2021-07-19,Sushi,ETH,A
1283,DEUS,DEA,2.20470588,1414810.6502502998,ETH,2.229121049953875,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1284,DEUS,ETH,1.2411331200000002,461540.6032413,ETH,1.2488457759166405,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1285,DEV,ETH,1.54627056,473344.4421578,ETH,1.5582539176074661,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1286,DEV,ETH,285.51159384000005,2392.4533598000003,ETH,1618.4488348029395,POOL,Sushi,2021-07-19,Sushi,ETH,A
1287,DEV,SUSHI,0.18453239999999999,862.0348683999999,ETH,0.1847022984818425,POOL,Sushi,2021-07-19,Sushi,ETH,A
1288,DEX,,0.00,,ETH,0.0,FARM,https://kitten.finance/,2021-07-19,https://kitten.finance/,ETH,D
1289,DEX,ETH,7.94,87028.39,ETH,8.262794200881585,FARM,https://kitten.finance/,2021-07-19,https://kitten.finance/,ETH,D
1290,DEXE,BUSD,25.99,900045.35,BSC,29.66804677064394,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1291,DEXE,BUSD,83.81,900045.35,BSC,130.9749928719156,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1292,DEXT,ETH,16.64644512,11390.577818200001,ETH,18.107672739927573,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1293,DEXTF,ETH,165.29596908,8842.796691,ETH,420.29621577125437,POOL,Sushi,2021-07-19,Sushi,ETH,A
1294,DFD,BUSD,10.21,2166618.99,BSC,10.747840364113536,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1295,DFD,BUSD,174.32,2166618.99,BSC,469.1936591599363,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1296,DFD,ETH,13.318477080000001,506325.1130358,ETH,14.243331883902744,POOL,Sushi,2021-07-19,Sushi,ETH,A
1297,DFT,BNB,37.46,2189474.35,BSC,45.41301767216402,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1298,DFT,BNB,233.85,2189474.35,BSC,928.8642687510683,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1299,DFT,ETH,0.17965668,69176.47459760001,ETH,0.1798177163600867,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1300,DFV,ETH,1.0585791599999999,131051.7065553,ETH,1.0641864185717331,POOL,Sushi,2021-07-19,Sushi,ETH,A
1301,DFX,ETH,1.48108716,335309.5596282,ETH,1.4920791088678609,POOL,Sushi,2021-07-19,Sushi,ETH,A
1302,DGCL,ACXT,12.6019944,9845.625273,ETH,13.428011997044687,POOL,Sushi,2021-07-19,Sushi,ETH,A
1303,DGTX,ETH,1.9518803999999998,138459.3275987,ETH,1.971000915421306,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1304,DGVC,ETH,0.21820836,454714.3729106,ETH,0.2184459540240491,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1305,DGX,ETH,1.7233722,1174.3456081000002,ETH,1.7382665437599698,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1306,DHC,ETH,0.59790768,8981.1544877,ETH,0.5996937892847942,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1307,DHT,ETH,0.00012036,0.8348064000000001,ETH,0.00012036007219773381,POOL,Sushi,2021-07-19,Sushi,ETH,A
1308,DHT,USDC,2.01465444,7550.0296922,ETH,2.0350288476476353,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1309,DIA,ETH,7.14440544,1223880.6231947,ETH,7.4050551253259655,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1310,DIA,ETH,2.60155044,65741.1574839,ETH,2.635590987457803,POOL,Sushi,2021-07-19,Sushi,ETH,A
1311,DIA,USDC,3.48164184,128808.37749240002,ETH,3.542788628113569,POOL,Sushi,2021-07-19,Sushi,ETH,A
1312,DIA,USDC,0.0030266399999999997,436449.1812483,ETH,0.0030266856754668225,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1313,DICE,ETH,0.0,24217.6706429,ETH,0.0,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1314,DIGG,BTC,1.2239972399999999,1945144.8312674,ETH,1.2314979674117543,POOL,Sushi,2021-07-19,Sushi,ETH,A
1315,DIGG,BTC,1.15992396,1138397.9908693,ETH,1.166658518294117,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1316,DIP,ETH,3.3623564399999997,496878.49271699996,ETH,3.4193623995220745,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1317,DIS,FTM,210.43,204912.31,FANTOM,715.1951550739913,FARM,https://app.spiritswap.finance,2021-07-19,https://app.spiritswap.finance,FANTOM,B
1318,DITTO,BNB,5.67,908980.97,BSC,5.833360090181827,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1319,DITTO,BNB,87.51,908980.97,BSC,139.66037539322494,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1320,DJ15,ETH,0.01661364,1169524.6981449,ETH,0.016615016357701684,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1321,DM,OLLI,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1322,DMG,ETH,2.9009244,11858.1343756,ETH,2.943292386293006,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1323,DMT,QUICK,0.00,57.31,PLOYGON,0.0,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1324,DNA,ETH,0.77962668,973.67012,ETH,0.7826652907470422,POOL,Sushi,2021-07-19,Sushi,ETH,A
1325,DNA,ETH,0.0,1.838524,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1326,DNT,ETH,14.04932364,317241.335627,ETH,15.08101867037257,POOL,Sushi,2021-07-19,Sushi,ETH,A
1327,DNT,ETH,15.29190648,19676.8459717,ETH,16.519335189473793,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1328,DOCK,ETH,0.30012695999999994,7.1583815,ETH,0.30057655424970964,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1329,DODO,BNB,5.97,8204113.30,BSC,6.151286127141109,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1330,DODO,BNB,45.91,8204113.30,BSC,58.21924503943472,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1331,DOGE,BAKE,56.23,1417774.31,BSC,75.39446188771419,FARM,https://www.bakeryswap.org,2021-07-19,https://www.bakeryswap.org,BSC,C
1332,DOGE,BNB,25.19,2649429.74,BSC,28.635561710430668,FARM,https://apeswap.finance,2021-07-19,https://apeswap.finance,BSC,C
1333,DOGE,BNB,26.39,14365122.05,BSC,30.187384298368602,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1334,DOGE,USDT,12.66,6808146.58,BSC,13.493802908073649,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1335,DOGEBEAR,ETH,0.0761028,9.4040238,ETH,0.07613168613083143,POOL,Sushi,2021-07-19,Sushi,ETH,A
1336,DOGEGF,ETH,10.858301039999999,9881.8232334,ETH,11.467943635341737,POOL,Sushi,2021-07-19,Sushi,ETH,A
1337,DOGEN,dUSD,0.8761017600000001,585.6567093,ETH,0.8799401568613696,POOL,Sushi,2021-07-19,Sushi,ETH,A
1338,DOGEREUM,ETH,0.0,67.0866143,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1339,DOGEREUM,renDOGE,0.0,54.755612400000004,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1340,DOGES,ETH,16.94033376,2524.3528,ETH,18.455128227427807,POOL,Sushi,2021-07-19,Sushi,ETH,A
1341,DOGGY,,6.77,,BSC,7.003752964874899,FARM,https://www.bakeryswap.org,2021-07-19,https://www.bakeryswap.org,BSC,C
1342,DOGGY,BARK,138.82,2791875.47,BSC,299.70908636332297,FARM,https://www.bakeryswap.org,2021-07-19,https://www.bakeryswap.org,BSC,C
1343,DOGGY,BNB,134.09,2895867.27,BSC,281.31018221700145,FARM,https://www.bakeryswap.org,2021-07-19,https://www.bakeryswap.org,BSC,C
1344,DOGY,BTY,0.09325127999999999,97.8841237,ETH,0.0932946532910428,POOL,Sushi,2021-07-19,Sushi,ETH,A
1345,DOGY,ETH,0.73284792,882.0487769,ETH,0.7355324111190997,POOL,Sushi,2021-07-19,Sushi,ETH,A
1346,DOGY,LTY,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1347,DOGY,SUSHI,0.036087480000000005,40.3266122,ETH,0.036093974471906876,POOL,Sushi,2021-07-19,Sushi,ETH,A
1348,DOKI,ETH,44.06,233002.72,PLOYGON,55.32263513130871,FARM,https://swap.cometh.io/#/stake,2021-07-19,,,
1349,DOKI,ETH,2.20252008,126879.01579440001,ETH,2.2268866851341773,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1350,DOKI,ETH,0.0,63.3605592,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1351,DOKI,MUST,45.08,75378.87,PLOYGON,56.91308142609148,FARM,https://swap.cometh.io/#/stake,2021-07-19,,,
1352,DOLA,ETH,0.1402758,638.7147343,ETH,0.14037396259396484,POOL,Sushi,2021-07-19,Sushi,ETH,A
1353,DOLA,ETH,1.7684257199999998,27573.1129128,ETH,1.7841113477064408,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1354,DONUT,ETH,1.08214428,82546.5684989,ETH,1.0880044231716957,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1355,DOPL.,ETH,0.0,10.5309698,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1356,DOS,ETH,3.2819826,222306.9029748,ETH,3.3362812407979447,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1357,DOT,BNB,3.25,53428761.07,BSC,3.3032398518662687,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1358,DOT,BNB,8.80,2478170.14,BSC,9.197653990182552,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1359,DOT,BNB,3.10,5215370.23,BSC,3.1484146077249475,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1360,DOT,BNB,20.06,3320529.74,BSC,22.206847749310654,FARM,https://apeswap.finance,2021-07-19,https://apeswap.finance,BSC,C
1361,DOT,BNB,14.32,53428761.07,BSC,15.39281640273531,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
1362,DOT,BNB,32.86,137014.27,BSC,38.88168167733599,FARM,https://cafeswap.finance,2021-07-19,https://cafeswap.finance,BSC,C
1363,DOT,BREW,155.12,597678.08,BSC,370.1648140770052,FARM,https://cafeswap.finance,2021-07-19,https://cafeswap.finance,BSC,C
1364,DOT,USDT,2.45,8897775.66,BSC,2.4801748490787645,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
1365,DOUGH,ETH,4.67252448,861794.2991239,ETH,4.78309381262747,POOL,Sushi,2021-07-19,Sushi,ETH,A
1366,DOUGH,PLAY,2.43406044,13334.646400200001,ETH,2.4638423545447097,POOL,Sushi,2021-07-19,Sushi,ETH,A
1367,DPI,ETH,7.72711068,3787202.3957017,ETH,8.032608783416473,POOL,Sushi,2021-07-19,Sushi,ETH,A
1368,DPI,ETH,4.060991039999999,17643101.553142,ETH,4.144341654921102,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1369,DPI,INDEX,0.0,0.0063686,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1370,DPI,WSTA,2.12075604,13505.8616527,ETH,2.1433409602811038,POOL,Sushi,2021-07-19,Sushi,ETH,A
1371,DPR,USDC,13.63038204,1489270.1331586,ETH,14.60008688111838,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1372,DRC,ETH,3.6712944000000003,125812.15871419999,ETH,3.739327230869449,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1373,DRC,ETH,71.86081967999999,95504.5037968,ETH,105.01269739402073,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1374,DRC,ETH,36.34912044,11079.4820899,ETH,43.80820702280861,POOL,Sushi,2021-07-19,Sushi,ETH,A
1375,DRC,ETH,0.99334188,144999.0431821,ETH,0.9982782455624895,POOL,Sushi,2021-07-19,Sushi,ETH,A
1376,DRC,QUICK,0.00,5164.98,PLOYGON,0.0,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
1377,DRGN,ETH,7.4565518399999995,44469.2963732,ETH,7.74077268300406,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
1378,DRGN,ETH,340.32460836,525.9773585999999,ETH,2859.1233517513933,POOL,Sushi,2021-07-19,Sushi,ETH,A
1379,DRIP,ETH,0.0,10.9233647,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1380,DRT,ETH,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1381,DRT,ETH,0.02360232,12.3188131,ETH,0.023605097937129393,POOL,Sushi,2021-07-19,Sushi,ETH,A
1382,DSCPL,ETH,0.0,14.519859499999999,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1383,DSD,ETH,5.56157316,172.6601317,ETH,5.718688144086337,POOL,Sushi,2021-07-19,Sushi,ETH,A
